order_id,product_id,add_to_cart_order,reordered
988,45061,1,0
988,28464,2,0
988,12626,3,0
988,4818,4,1
1890,432,1,1
1890,47626,2,1
1890,13176,3,1
1890,11182,4,0
1890,30720,5,0
1890,26376,6,1
1890,48679,7,1
1890,8424,8,0
1890,28985,9,0
1890,44632,10,1
1890,8277,11,0
1890,38739,12,0
1890,25659,13,0
1890,44201,14,0
1890,30391,15,0
2445,40002,1,0
2445,43643,2,1
2445,9598,3,0
2445,22035,4,0
2445,38739,5,0
2445,13409,6,1
2445,33731,7,0
2445,14399,8,1
2445,6297,9,1
2445,34050,10,1
2445,32734,11,1
2445,21616,12,1
2445,42265,13,1
2445,31040,14,1
2445,39182,15,1
2445,2091,16,1
2445,48057,17,1
2445,36506,18,1
2445,43735,19,0
2445,40604,20,1
2445,6905,21,0
2445,10385,22,1
2445,41874,23,0
2445,34126,24,0
2445,28535,25,0
2445,33792,26,0
2445,14976,27,0
2445,13231,28,0
2445,4920,29,0
2445,38693,30,1
2445,13176,31,1
2445,2081,32,0
2445,39990,33,0
2445,9477,34,0
2445,24964,35,1
2445,24184,36,0
3529,17261,1,0
3529,6679,2,1
3649,40199,1,1
3649,13176,2,1
3649,7987,3,1
3733,38889,1,1
3733,32163,2,1
3733,37417,3,1
3733,5194,4,1
3733,13380,5,1
3733,1203,6,1
3733,5077,7,1
3733,19310,8,1
3733,44187,9,1
3733,44361,10,0
3733,12845,11,0
3733,14726,12,1
3733,6193,13,0
3733,47457,14,1
3733,21938,15,0
3733,30950,16,1
3733,41625,17,0
3733,34358,18,0
3733,34321,19,0
3733,29127,20,0
3733,39936,21,0
3733,48969,22,0
4711,46802,1,1
4711,38293,2,1
4711,9689,3,1
4711,44201,4,1
4711,48487,5,1
4711,43352,6,1
4711,4799,7,1
4711,36923,8,1
4711,47804,9,1
4711,3793,10,0
4711,7461,11,1
4711,2537,12,0
4711,210,13,0
4711,41463,14,1
4711,15592,15,1
5743,23288,1,1
5743,3765,2,1
5743,47209,3,1
5743,35851,4,1
5743,38647,5,1
5743,9122,6,1
5743,12951,7,1
5743,45210,8,1
5743,27966,9,0
5743,20113,10,1
5743,7963,11,1
6695,37600,1,1
6695,17976,2,1
6695,37710,3,1
6695,39657,4,1
6695,36472,5,1
6695,45051,6,1
6695,1,7,1
6695,12542,8,1
6695,9007,9,1
6695,19767,10,1
6695,26317,11,1
6695,11266,12,1
6695,3298,13,1
6695,130,14,1
6695,30777,15,1
6695,21769,16,1
6695,40199,17,1
6695,30720,18,1
6695,6184,19,1
6695,10310,20,1
7537,40627,1,0
7537,14233,2,0
11052,16283,1,1
12983,5097,1,0
12983,16797,2,0
12983,26604,3,0
12983,39275,4,0
12983,49176,5,0
12983,35702,6,0
12983,3562,7,0
12983,9755,8,0
12983,1700,9,0
12983,6089,10,0
12983,5223,11,1
12983,36772,12,0
13066,45504,1,1
13066,27966,2,1
13066,117,3,1
13066,35138,4,1
13066,10749,5,0
13066,25931,6,0
13066,30463,7,0
13066,17794,8,1
13066,6615,9,1
13066,43076,10,0
13318,24852,1,1
13318,25513,2,1
13318,21903,3,1
13318,31915,4,1
13318,13565,5,1
13318,32864,6,1
13318,47626,7,1
13318,26604,8,1
13318,25890,9,0
14172,33198,1,1
14172,10070,2,1
14172,34866,3,1
14172,42450,4,1
