product_id,product_name,aisle_id,department_id
1,Chocolate Sandwich Cookies,61,19
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1
10,Sparkling Orange Juice & Prickly Pear Beverage,115,7
13,Saline Nasal Mist,11,11
23,Organic Turkey Burgers,49,12
25,Salted Caramel Lean Protein & Fiber Bar,3,19
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15
34,Peanut Butter Cereal,121,14
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1
45,European Cucumber,83,4
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20
54,24/7 Performance Cat Litter,41,8
60,Cheesy Creations Roasted Garlic Parmesan Sauce,9,9
79,Wild Albacore Tuna No Salt Added,95,15
93,Uncured Cracked Pepper Beef,23,19
95,Organic Rice Vinegar,66,6
100,Peanut Butter & Strawberry Jam Sandwich,38,1
116,English Muffins,93,3
117,Petit Suisse Fruit,2,16
122,Pomegranate Molasses,29,13
123,Sherry Reserve Vinegar,19,13
128,Organic Wild Blueberries,116,1
130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,37,1
132,Yogurt Strawberry Pomegranate,120,16
148,Nectarines,24,4
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20
160,100% Recycled Aluminum Foil,97,13
162,Organic Mini Homestyle Waffles,52,1
169,Extra Sharp Cheddar Cheese,21,16
179,Penne Rigate With Spinach,131,9
193,fruitwater® Strawberry Kiwi Sparkling Water,98,7
196,Soda,77,7
204,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,17
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14
226,Shaved Parmesan Cheese,21,16
239,Chicharrones Picante Flavor Pork Rinds,107,19
246,Triple-Acting Laundry Stain Remover,75,17
248,Dried Sweetened Cranberries,117,19
258,Vegetable Pot Pie,38,1
260,Cantaloupe,24,4
270,OneZip Storage Bags Quart Size Value Pack,85,17
274,Snack Bags,87,17
277,Diet Root Beer,77,7
278,Instant Mashed Potatoes,4,9
287,Turkey,96,20
300,Organic Enriched Unbleached White Flour,17,13
311,Naturals Savory Turkey Breakfast Sausage,52,1
329,Organic Whole Grassmilk Milk,84,16
330,Chilpotles in Adobo Sauce,30,6
343,Organic Whole Peeled Baby Carrots,123,4
365,Cheerios Cereal,121,14
377,Chunky Beef with Vegetables & Brown Rice Dog Food,40,8
388,Stove Top Stuffing Mix for Turkey,4,9
389,Mache Blend,123,4
392,OPA Greek Yogurt Ranch Dressing,89,13
397,Pure Granulated Cane Sugar,17,13
401,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",20,11
403,Ultra Thin Pastrami,96,20
405,100% Organic Diced Tomatoes,81,15
406,Vanilla Almond Protein Bar,3,19
422,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,107,19
424,Linguine Pasta,131,9
429,Dark Red Kidney Beans,59,15
432,Vanilla Almond Breeze Almond Milk,91,16
436,Petite Brussels Sprouts,116,1
443,Ultra Power Plus Laundry Detergent 54 loads,75,17
445,Almond Honey Protein+ Bar,3,19
449,Chips Ahoy! Chewy Cookies,61,19
455,Ibuprofen Liquid Gels,133,11
457,Whole Wheat Fig Bar,48,14
459,Honey Vanilla Greek Yogurt,120,16
470,Lite Beer,27,5
480,Slow Churned Mint Chocolate Chip Ice Cream,37,1
481,Black Peppercorns,104,13
483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",94,7
498,Daily Moisture Shampoo,22,11
500,Non-Scratch Scrub Sponges,114,17
513,Honey Maid Graham Cracker Crumbs,17,13
519,Antioxidant Infusions Brasilia Blueberry,31,7
546,Tomatillo Salsa,51,13
578,"10\"" Bamboo Skewers",10,17
588,Special K Original Cereal,121,14
594,Gluten Free Peanut Butter Berry  Chewy With A Crunch Granola Bars,3,19
605,Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender,75,17
614,Plain Dairy-Free Probiotic Drinkable Cashewgurt,100,21
622,Fudge Brownies with English Walnuts,61,19
633,Coconut Milk Creamer Barista Style Original,91,16
651,Organic Salted Butter,36,16
663,Pico De Gallo,67,20
683,Town House Sea Salt & Olive Oil Flatbread Crisps,78,19
689,"Antibacterial, Pomegranate & Tangerine Hand Soap with Moisturizer",127,11
691,Organic Promise Strawberry Fields Cereal,121,14
692,Skirt Steak,122,12
694,Greek & Chia Blood Orange Yogurt,120,16
703,Traditional No Fat Refried Beans,59,15
717,Sweeper Open Window Fresh Scent Wet Mopping Cloths Refill,114,17
730,Restorative Biotin Conditioner,22,11
742,Organic Raw Coconut Aminos,72,13
763,Lemonade Flavor Drink Mix,90,7
781,Organic Shredded Mild Cheddar,21,16
794,Pad Thai Rice Noodles,66,6
810,Organic Honey Mustard,72,13
812,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,57,14
831,All Natural Premium Cornish Hen,34,1
890,Organic Diced Tomatoes,81,15
907,Premium Sliced Bacon,106,12
928,Chunky Classic Chicken Noodle Soup,69,15
939,Annie's Bunny Fruit Snacks Variety,50,19
952,"Flaxseed Meal, Whole Ground",17,13
989,Chapatti Chicken Tikki Masala Wrap,38,1
1000,Apricots,18,10
1005,China Green Tips Green Tea,94,7
1006,Philadelphia Cream Cheese,108,16
1022,Marshmallow,88,13
1025,Organic Fresh Basil,16,4
1063,Extra Dark Chocolate Baking Chips,17,13
1069,100% Oatnut Bread,112,3
1073,Carving Board Oven Roasted Turkey,96,20
1076,Yellow Corn Taco Dinner Kit,30,6
1082,Ultimate Absorbency Long Pads,126,11
1090,Shells & Real Aged Cheddar Macaroni & Cheese,4,9
1094,Kids Strawberry Yogurt Tubes,120,16
1104,Plain Yogurt,120,16
1117,Turkey Bacon,106,12
1138,Pork Tenderloin,7,12
1139,Whole Wheat Fresh Stack Crackers,78,19
1142,Crystal Rain Trigger Glass Cleaner,114,17
1158,Mango Chunks,116,1
1160,Pinot Grigio,62,5
1170,Tricolor Penne,131,9
1181,Mini Watermelon,24,4
1183,Organic Black Seedless Grapes,24,4
1185,Energy Tropical Citrus Vitamin Water Drink,64,7
1187,Natural Stone & Steel Cleaner,114,17
1194,Natural Artisan Water,115,7
1200,Vegetable Classics Vegetable Soup,69,15
1202,Organic Whole Grain Oatmeal Cereal Baby Food,92,18
1203,Crunchy Organic Dark Roasted Peanut Butter,88,13
1205,Gourmet Nacho Cheddar Cheese Sauce,30,6
1208,Organic Roasted Dandelion Root Herbal Tea,94,7
1213,Wild Berries Sore Throat Lozenges,11,11
1215,Kidz All Natural Baked Chicken Nuggets,129,1
1216,Dairy Free Gluten Free Mushroom & Roasted Garlic Pizza,42,1
1217,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",54,17
1234,Cream Top Smooth & Creamy Plain Yogurt,120,16
1241,Strawberry Cheesecake Ice Cream,37,1
1244,Organic Orange Bell Pepper,83,4
1250,Turkey Breast Oven Roasted,13,20
1261,Old Fashioned Buttermilk Ranch Salad Dressing,89,13
1263,American Cheese Slices 12 Count,21,16
1295,Ultra Assorted Fruit Antacid Tablets,70,11
1308,Organic Coconut Flour,17,13
1313,Tortilla Strips Restaurant Style,107,19
1319,100% Recycled White Unscented Bathroom Tissue,54,17
1322,Cannellini White Kidney Beans,59,15
1323,Vanilla Bean Natural Lowfat Yogurt,120,16
1330,Extra Soft Double Roll Bathroom Tissue,54,17
1347,Organic Raspberry Yogurt,120,16
1359,Organic Turmeric,104,13
1360,Crunchy Peanut Butter,88,13
1374,Organic Hass Avocado Bag,83,4
1376,Buttermilk Biscuits,105,13
1377,Organic Lactose Free Strawberry Yogurt,120,16
1392,Medium Salsa Organica,67,20
1398,Ice Bag,37,1
1406,Vegan Nutritional Shake Sweet Vanilla Bean,65,11
1408,Mini Cucumbers,123,4
1416,Organic Caesar Dressing,89,13
1439,Sparkling Probiotic Pomegranate Drink,31,7
1440,Baby Dill,16,4
1447,Organic Baby Lettuces,123,4
1461,Original Value Pack Sausage Patties,52,1
1463,Organic Milk,84,16
1468,Organic Peeled & Cooked Beets,123,4
1492,Chocolate Instant Pudding & Pie Filling,105,13
1503,Low Fat Cottage Cheese,108,16
