dataset,algorithm_profile,threads,requested_merge_buckets,merge_strategy,merge_buckets,runs,median_cooccur_compute_ms,median_merge_ms,median_cooccur_pipeline_ms,median_adjacency_ms,median_recommend_ms,median_algorithm_ms,stdev_algorithm_ms,algorithm_cv_percent,median_end_to_end_ms,merge_share_percent,merge_speedup_vs_baseline,cooccur_pipeline_speedup_vs_baseline,algorithm_speedup_vs_baseline,algorithm_improvement_percent,algorithm_rank,is_best_for_threads,bucket_baseline,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum,experiment_dir
large,fast-normalization-top50,8,1,bucket-serial,1,3,4110.765,4465.945,8554.478000,2117.665,2480.832,13218.338,277.62541880562713,2.100305,28173.002,33.785980,1.000000,1.000000,1.000000,0.000000,5,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-211306917-large-fast-normalization-top50-mb1
large,fast-normalization-top50,8,64,bucket-parallel,64,3,3239.459,553.829,3773.374000,2193.349,2656.042,8647.393,141.49959816315172,1.636327,22952.449,6.404578,8.063762,2.267063,1.528592,34.580331,1,1,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-212500335-large-fast-normalization-top50-mb64
large,fast-normalization-top50,8,128,bucket-parallel,128,3,3830.67,532.225,4362.895000,2174.937,2702.981,9240.813,212.14173115160602,2.295704,23701.214,5.759504,8.391085,1.960734,1.430430,30.090962,3,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-213451847-large-fast-normalization-top50-mb128
large,fast-normalization-top50,8,256,bucket-parallel,256,3,3666.1,496.494,4162.594000,2207.402,2744.459,9184.818,157.66989499584207,1.716636,23797.502,5.405594,8.994963,2.055083,1.439151,30.514578,2,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-214451118-large-fast-normalization-top50-mb256
large,fast-normalization-top50,8,384,bucket-parallel,384,3,4900.948,694.121,5595.069000,2246.046,2575.221,10360.259,188.61204683246842,1.820534,25035.633,6.699842,6.433957,1.528932,1.275869,21.622075,4,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-215457945-large-fast-normalization-top50-mb384
large,fast-normalization-top50,16,1,bucket-serial,1,3,2372.973,6246.957,8619.930000,1194.185,1612.051,11456.29,609.7049082326631,5.322010,26073.729,54.528621,1.000000,1.000000,1.000000,0.000000,5,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-211306917-large-fast-normalization-top50-mb1
large,fast-normalization-top50,16,64,bucket-parallel,64,3,2518.871,493.066,3037.816000,1174.869,1565.427,5843.781,472.6069569286229,8.087349,20529.671,8.437448,12.669616,2.837542,1.960424,48.990633,1,1,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-212500335-large-fast-normalization-top50-mb64
large,fast-normalization-top50,16,128,bucket-parallel,128,3,2762.911,463.622,3226.533000,1203.993,1506.225,6171.647,337.2405426442675,5.464352,20640.735,7.512128,13.474246,2.671577,1.856278,46.128747,2,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-213451847-large-fast-normalization-top50-mb128
large,fast-normalization-top50,16,256,bucket-parallel,256,3,3069.49,400.106,3469.596000,1167.268,1631.946,6503.443,256.193146020732,3.939346,20921.427,6.152218,15.613255,2.484419,1.761573,43.232556,3,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-214451118-large-fast-normalization-top50-mb256
large,fast-normalization-top50,16,384,bucket-parallel,384,3,3767.682,486.113,4253.795000,1146.401,1503.065,7324.94,316.62630513114334,4.322579,22026.326,6.636409,12.850833,2.026409,1.564011,36.061849,4,0,1,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,/home/zkpk/bingxing/BasketOMP-main/results/bucket-sweeps/20260718-211306865-large-top50/experiments/20260718-215457945-large-fast-normalization-top50-mb384
