"run_id","timestamp","dataset","algorithm_profile","version","mode","threads","repeat","run","warmup","top_k","max_neighbors","popular_fallback","schedule","cooccur_schedule","cooccur_chunk","recommend_schedule","recommend_chunk","orders","prior_rows","train_rows","products","users","unique_pairs","pair_events","graph_edge_entries","max_degree","active_users","candidate_shortage_users","empty_candidate_users","total_candidates","max_candidates","load_ms","cooccur_compute_ms","merge_ms","normalization_ms","adjacency_ms","truncate_ms","recommend_ms","evaluate_ms","algorithm_ms","end_to_end_ms","hit_rate","recall","cooccur_checksum","recommendation_checksum","status"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:26.3930503+08:00","medium","fast-normalization-full","serial","serial","1","1","1","0","10","0","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","347","271","0","100","420","0","4588","0","5279","5627","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:32.4758706+08:00","medium","fast-normalization-full","openmp","openmp","1","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","357","276","33","79","417","0","4950","0","5676","6033","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:36.1083433+08:00","medium","fast-normalization-full","openmp","openmp","2","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","377","210","61","91","415","0","2525","0","3211","3588","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:38.5863974+08:00","medium","fast-normalization-full","openmp","openmp","4","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","334","114","106","101","428","0","1445","11","2093","2447","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:40.4250135+08:00","medium","fast-normalization-full","openmp","openmp","8","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","329","70","156","85","406","0","834","1","1466","1796","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:45.7320696+08:00","medium","fast-normalization-full","serial","serial","1","2","2","0","10","0","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","332","269","0","77","383","0","4297","0","4949","5281","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:51.0733465+08:00","medium","fast-normalization-full","openmp","openmp","1","2","2","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","322","286","32","84","389","0","4278","0","4985","5307","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:54.5903064+08:00","medium","fast-normalization-full","openmp","openmp","2","2","2","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","336","177","47","88","387","0","2542","0","3153","3489","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:57.3847500+08:00","medium","fast-normalization-full","openmp","openmp","4","2","2","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","387","104","103","84","429","0","1689","0","2325","2712","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
"20260717-204200-medium-fast-normalization-full","2026-07-17T20:42:59.1862588+08:00","medium","fast-normalization-full","openmp","openmp","8","2","2","0","10","0","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","5225290","13996","5000","0","1","83335836","26075","331","61","140","79","412","0","818","0","1431","1762","0.8428125","0.31472267698","14472467716660838659","17408454852844037599","ok"
