dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
small,fast-normalization-full,openmp,openmp,1,10,0,dynamic,64,dynamic,16,3,19.194,19.187,20.27,0.6232594430358299,13.208,12.974,13.24,0.1452216696410468,5.73,5.712,5.731,0.010692676621563847,2.818,2.797,2.859,0.0315330514434193,28.821,28.797,29.057,0.1436848403045114,0.0,0.0,0.0,0.0,24.021,23.912,24.084,0.08701915497942626,0.065,0.064,0.068,0.0020816659994661348,71.788,71.438,72.06,0.31181404714989963,91.432,91.166,91.888,0.36514289440345993,0.951830389480136,0.951830389480136,0.951830389480136,0.951830389480136,0.974523016353725,1.0660455917560112,1.0296823612672246,1.0,1.0,,0.44964876335431,48,1,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,12,10,0,dynamic,64,dynamic,16,3,20.27,19.773,20.325,0.30406633048289516,7.822,6.536,10.766,2.1684799591726307,9.158,5.744,9.322,2.0200815165070276,0.999,0.873,1.009,0.07579797710581285,5.247,4.918,5.255,0.19229924596836032,0.0,0.0,0.0,0.0,9.483,8.558,9.804,0.6469392037381362,0.066,0.066,0.067,0.0005773502691896262,30.432,27.371,34.811,3.7394064145708126,50.756,48.245,55.675,3.779474875340929,2.245333859095689,0.18711115492464073,2.245333859095689,0.18711115492464073,1.6455510099718742,5.855631789594054,2.6082463355478223,2.3589642481598316,0.1965803540133193,0.39494698189268657,0.44964876335431,48,12,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,16,10,0,dynamic,64,dynamic,16,3,19.397,19.356,19.613,0.13807365184325787,6.664,6.643,7.067,0.23896512995274738,10.064,9.977,10.157,0.09001666512374236,0.907,0.874,1.049,0.09298566197717434,4.7,4.641,4.839,0.1016579231212864,0.0,0.0,0.0,0.0,8.041,7.677,8.793,0.569130330709349,0.069,0.069,0.071,0.0011547005383792444,29.449,28.959,30.856,0.98474683717864,49.72,49.001,51.184,1.1124856553382307,2.320282522326734,0.14501765764542088,2.320282522326734,0.14501765764542088,1.931497599039616,6.537127659574468,3.0759855739335906,2.4377058643757,0.15235661652348126,0.3930474657300357,0.44964876335431,48,16,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,2,10,0,dynamic,64,dynamic,16,3,19.613,19.61,19.839,0.13135575104780606,15.048,14.748,15.062,0.1773847043387152,6.658,6.507,6.659,0.08746999485537907,3.196,3.133,3.22,0.044933283877322046,16.996,16.897,17.122,0.11276967677527575,0.0,0.0,0.0,0.0,18.872,18.417,19.18,0.38385283638394446,0.065,0.065,0.067,0.0011547005383792525,57.134,57.024,58.008,0.5391709685557398,76.936,76.825,78.043,0.6734604665457367,1.1959603738579478,0.5979801869289739,1.1959603738579478,0.5979801869289739,0.8553628389154705,1.8077488820899037,1.310618906316236,1.2564847551370462,0.6282423775685231,0.6722962095711988,0.44964876335431,48,2,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,24,10,0,dynamic,64,dynamic,16,3,19.072,18.923,19.815,0.47782737468671826,6.394,6.103,7.289,0.6181022029837244,11.446,11.415,11.559,0.0757913803366407,0.372,0.359,0.377,0.009291573243177578,4.847,4.416,4.902,0.2661396876328919,0.0,0.0,0.0,0.0,6.166,4.955,7.913,1.487071731065228,0.071,0.07,0.071,0.0005773502691896183,29.02,26.889,31.494,2.3046280249388045,49.136,46.784,52.504,2.874999362318769,2.3545830461750517,0.09810762692396048,2.3545830461750517,0.09810762692396048,2.013059117923053,6.3388694037549,4.011352578657152,2.4737422467263954,0.10307259361359981,0.3996907590402077,0.44964876335431,48,24,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,32,10,0,dynamic,64,dynamic,16,3,19.656,19.445,20.32,0.4566256672592992,7.956,7.881,8.025,0.07202083032012342,13.0,12.872,13.098,0.11333137253205793,0.421,0.407,0.561,0.08515867542417511,6.591,6.569,7.111,0.3067702723537597,0.0,0.0,0.0,0.0,7.411,6.983,9.146,1.1454240844915629,0.085,0.081,0.089,0.003999999999999997,35.073,35.005,36.564,0.8811153916107309,55.965,55.861,58.336,1.399885828677943,1.9482222792461437,0.06088194622644199,1.9482222792461437,0.06088194622644199,1.617835595776772,4.661583978152025,3.337471326406693,2.046816639580304,0.0639630199868845,0.4975880806144753,0.44964876335431,48,32,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,4,10,0,dynamic,64,dynamic,16,3,19.737,19.197,19.924,0.3775133551721493,11.575,8.86,11.771,1.6270403600812533,7.243,4.705,7.507,1.547166442242075,1.864,1.848,2.021,0.0955981171362699,9.286,9.284,9.343,0.033501243758005846,0.0,0.0,0.0,0.0,22.02,21.9,22.67,0.4142865353029647,0.068,0.064,0.069,0.002645751311064593,50.257,44.869,51.038,3.358994542021961,69.731,64.879,71.271,3.3359448436687287,1.359611596394532,0.339902899098633,1.359611596394532,0.339902899098633,1.1120086393088553,3.308690501830713,1.1232515894641237,1.4284179318303918,0.35710448295759795,0.6473388945802235,0.44964876335431,48,4,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,48,10,0,dynamic,64,dynamic,16,3,19.733,19.378,19.977,0.30120922960626567,13.08,6.951,13.77,3.75365381994664,8.702,8.644,14.292,3.244260778667461,0.456,0.405,0.672,0.141742724681022,12.932,12.828,20.16,4.203431613971296,0.0,0.0,0.0,0.0,6.348,4.851,7.992,1.571073200076941,0.081,0.08,0.082,0.0010000000000000009,43.338,33.333,53.88,10.274669483735233,67.572,57.365,78.065,10.35032928622724,1.5766763579306844,0.03284742412355592,1.5766763579306844,0.03284742412355592,0.9840596330275229,2.3758506031549644,3.8963453056080657,1.656467765009922,0.03450974510437337,0.6264635638687097,0.44964876335431,48,48,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,openmp,openmp,8,10,0,dynamic,64,dynamic,16,3,19.62,19.528,19.65,0.06357148207595427,6.569,6.303,7.566,0.6658245514648234,7.989,7.953,8.019,0.03304542328371652,1.127,1.121,1.247,0.0710774225756675,5.749,5.723,5.992,0.1483722795313645,0.0,0.0,0.0,0.0,12.846,11.764,12.848,0.6252711411859664,0.066,0.064,0.066,0.0011547005383792525,33.096,32.074,34.15,1.0380411038746653,53.159,52.052,54.225,1.0865644634964533,2.0645999516557896,0.2580749939569737,2.0645999516557896,0.2580749939569737,1.9594306591566448,5.344320751435032,1.9254242565779232,2.1690838772057046,0.2711354846507131,0.41069181075035005,0.44964876335431,48,8,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
small,fast-normalization-full,serial,serial,1,10,0,none,64,none,16,2,20.312,20.222,20.402,0.12727922061357835,12.8715,12.748,12.995,0.17465537495307715,0.0,0.0,0.0,0.0,4.563000000000001,4.44,4.686,0.17394826817189038,30.7245,30.562,30.887,0.22980970388562744,0.0,0.0,0.0,0.0,24.734,23.884,25.584,1.2020815280171302,0.0675,0.065,0.07,0.0035355339059327407,68.33,67.194,69.466,1.6065466068558298,88.7655,87.539,89.992,1.734532934250603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.44964876335431,48,48,258142,1352,200,1,1,483266,4492,0.8515625,0.25703125,0.286378848587,0.238231539104,0.348239552933,0.563891989087,0.251770259638,0.241145440844,18436125889662285428,2830345476833032702
