dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
small,fast-normalization-top50,openmp,openmp,1,10,50,dynamic,64,dynamic,16,3,19.652,19.298,20.402,0.563712692778867,13.161,11.667,13.35,0.921976680833089,5.696,4.987,5.754,0.4270702518321778,2.835,2.777,2.86,0.042579337712087405,38.144,38.085,38.65,0.31057527267958657,33.195,33.177,33.65,0.2680416634281561,8.425,8.391,8.52,0.06686055139866322,0.064,0.063,0.064,0.0005773502691896262,65.367,63.188,66.275,1.5865094810095963,84.845,83.021,86.857,1.9187676600707368,0.954671317331375,0.954671317331375,0.954671317331375,0.954671317331375,0.9900083580275054,1.0687132969798658,1.0219584569732936,1.0,1.0,,0.6532433818344978,48,1,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,12,10,50,dynamic,64,dynamic,16,3,19.65,19.626,20.592,0.5509228621141069,6.361,5.771,6.941,0.585007122463764,5.811,5.646,8.998,1.8894486850225205,1.021,0.998,1.059,0.030805843601498704,6.318,6.239,6.322,0.04680811895387379,3.37,3.355,3.371,0.008962886439832538,3.105,3.008,3.278,0.13677109831149759,0.068,0.065,0.069,0.0020816659994661348,21.518,20.746,25.535,2.5712122303173137,41.689,40.914,46.987,3.305317886880676,2.9000836508969234,0.2416736375747436,2.9000836508969234,0.2416736375747436,2.048341455745952,6.4522000633111745,2.7729468599033815,3.037782321777117,0.25314852681475974,0.2852556071580494,0.6532433818344978,48,12,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,16,10,50,dynamic,64,dynamic,16,3,19.517,18.542,19.735,0.6352687095500075,6.986,6.754,9.296,1.405447022599334,10.078,9.889,10.206,0.15947518093212298,0.987,0.908,1.156,0.12669254121691612,5.714,5.397,6.121,0.36293112294208124,2.472,2.43,2.623,0.10150041050820113,2.135,2.093,2.414,0.1744734936888697,0.068,0.067,0.069,0.0010000000000000009,25.412,24.364,27.309,1.4927568455713076,45.737,44.728,46.619,0.9462105121659407,2.455690225090508,0.15348063906815676,2.455690225090508,0.15348063906815676,1.865087317492127,7.134231711585579,4.032786885245902,2.572288682512199,0.16076804265701244,0.3676986517958251,0.6532433818344978,48,16,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,2,10,50,dynamic,64,dynamic,16,3,19.444,19.388,19.801,0.2240364553668281,14.955,14.529,15.29,0.3814057332203241,6.568,6.386,6.658,0.1385688757742277,3.195,3.186,3.317,0.07317331025266902,22.767,22.551,23.03,0.23988399974432226,18.278,18.018,18.392,0.19169072312799343,7.02,6.832,7.033,0.11248259124563834,0.069,0.068,0.074,0.003214550253664313,51.386,50.757,51.475,0.39138344369684547,71.103,70.439,71.422,0.5014887835236217,1.2144163780017903,0.6072081890008951,1.2144163780017903,0.6072081890008951,0.8712470745570042,1.7905301532920457,1.2264957264957266,1.2720779978982601,0.6360389989491301,0.6468816101531956,0.6532433818344978,48,2,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,24,10,50,dynamic,64,dynamic,16,3,19.563,19.243,19.861,0.3090652574025977,6.639,6.482,6.877,0.19887936041731408,11.58,11.219,11.604,0.215685728163301,0.48,0.469,0.576,0.05885858759206962,5.554,5.543,6.1,0.3184561717620388,2.243,1.937,2.336,0.2087606284719414,2.108,1.918,2.344,0.2134135265941063,0.068,0.065,0.073,0.004041451884327377,25.88,25.588,26.5,0.46572667234477033,46.495,46.446,46.94,0.2721709021919867,2.4112828438948997,0.10047011849562082,2.4112828438948997,0.10047011849562082,1.9625696641060397,7.339755131436802,4.084440227703984,2.5257727975270483,0.10524053323029368,0.3892699185949618,0.6532433818344978,48,24,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,32,10,50,dynamic,64,dynamic,16,3,19.54,19.491,20.31,0.45935861081875123,6.927,6.527,20.651,8.041512627194795,13.052,12.63,14.484,0.9717702060329555,0.448,0.408,13.789,7.714002873562683,7.683,6.401,65.26,33.618289501400874,1.827,1.813,14.698,7.435120061796805,3.612,3.488,8.548,2.886262635312317,0.081,0.08,0.082,0.0010000000000000009,32.183,29.57,107.512,44.264811784682124,53.062,51.217,128.401,44.0392605183148,1.9390361370910107,0.060594879284094086,1.9390361370910107,0.060594879284094086,1.8809730041865165,5.305870102824418,2.383720930232558,2.0311033775595813,0.06347198054873691,0.5000982153749449,0.6532433818344978,48,32,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,4,10,50,dynamic,64,dynamic,16,3,19.665,19.459,19.741,0.1459086472191875,11.375,8.543,12.112,1.8841954074175362,7.364,6.65,7.444,0.43715595996547174,1.816,1.81,1.987,0.1005037312740179,12.313,12.029,12.709,0.34153379530191913,9.37,9.334,9.449,0.05882459802950933,7.079,7.044,7.346,0.16518575402659097,0.068,0.068,0.069,0.0005773502691896262,37.927,34.852,39.228,2.2471315789987343,57.837,54.637,59.299,2.384382799244562,1.6453713713185856,0.4113428428296464,1.6453713713185856,0.4113428428296464,1.1454505494505494,3.310728498335093,1.2162734849555021,1.7234951353916736,0.4308737838479184,0.4770207038010385,0.6532433818344978,48,4,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,48,10,50,dynamic,64,dynamic,16,3,19.702,19.688,20.128,0.2500906502317376,8.674,7.446,20.662,7.301629772409262,14.248,14.206,23.764,5.5062295629586675,0.916,0.682,13.456,7.3084589346865725,14.386,14.208,63.447,28.376905298734275,1.42,1.414,5.692,2.4681742239963533,2.523,2.23,2.988,0.38223858169124336,0.081,0.079,0.081,0.0011547005383792525,40.118,38.268,110.396,41.11947666657898,64.288,61.971,134.159,41.025261473877286,1.555511241836582,0.03240648420492879,1.555511241836582,0.03240648420492879,1.5021328106986396,2.833657722786042,3.4126040428061826,1.629368363328182,0.03394517423600379,0.6352770621632274,0.6532433818344978,48,48,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,8,10,50,dynamic,64,dynamic,16,3,19.275,19.244,20.08,0.4739694082955138,7.306,7.303,7.633,0.18966549501688493,8.33,8.138,8.351,0.11738398527908347,1.217,1.14,1.501,0.1901341631585444,7.44,7.335,8.029,0.37407263109365974,4.863,4.863,5.051,0.10854185060764948,4.268,3.879,4.326,0.24306857742894955,0.069,0.068,0.069,0.0005773502691896262,27.623,26.759,27.955,0.6174053233762504,47.326,46.43,48.433,1.0033505535620806,2.2591318828512468,0.28239148535640585,2.2591318828512468,0.28239148535640585,1.7833972077744318,5.479166666666666,2.0173383317713216,2.3663975672446873,0.2957996959055859,0.3630261796404993,0.6532433818344978,48,8,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,serial,serial,1,10,50,none,64,none,16,2,19.508499999999998,19.019,19.998,0.692257538781632,13.029499999999999,12.806,13.253,0.3160767311903874,0.0,0.0,0.0,0.0,4.795999999999999,4.733,4.859,0.08909545442950523,40.765,40.742,40.788,0.032526911934580745,33.605000000000004,33.591,33.619,0.019798989873222407,8.61,8.57,8.65,0.05656854249492385,0.07500000000000001,0.065,0.085,0.014142135623730952,62.403999999999996,62.163,62.645,0.3408254685319205,82.0505,81.308,82.793,1.0500535700620226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.6532433818344978,48,48,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
