dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
medium,fast-normalization-full,openmp,openmp,1,10,0,dynamic,64,dynamic,16,3,330.618,330.09,338.885,4.932445269167553,330.069,327.886,347.93,10.996535408936754,77.484,77.312,78.381,0.5740142274659538,93.578,93.075,94.961,0.9766178031007465,820.886,808.714,841.709,16.685447441807835,0.0,0.0,0.0,0.0,4822.627,4818.835,4876.674,32.35430778634161,1.384,1.376,1.466,0.04981298358192709,6071.717,6032.918,6123.872,45.64014413868596,6403.716,6365.431,6464.736,50.08436990053227,0.9934990382456891,0.9934990382456891,0.9934990382456891,0.9934990382456891,0.9998666945396264,1.0165930470248001,1.009348950271294,1.0,1.0,,0.13834103223592545,48,1,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,12,10,0,dynamic,64,dynamic,16,3,341.159,340.152,343.599,1.77244924704019,118.083,116.174,121.554,2.7275300792719634,210.131,204.947,211.264,3.368036866385721,12.076,11.677,12.077,0.2306519744839257,76.912,76.071,76.945,0.49535273627318754,0.0,0.0,0.0,0.0,1562.082,1534.711,1578.161,21.968190571824554,1.458,1.441,1.464,0.011930353445448802,1969.838,1934.653,1982.544,24.80918694758055,2312.828,2278.704,2329.094,25.716992540601034,3.062305123568537,0.25519209363071144,3.062305123568537,0.25519209363071144,2.794856160497277,10.85015342209278,3.1161702778727363,3.0823433196029315,0.2568619433002443,0.26532879097703643,0.13834103223592545,48,12,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,16,10,0,dynamic,64,dynamic,16,3,329.134,325.959,340.302,7.533552703295667,96.454,95.299,207.462,64.42650678356955,208.768,208.283,213.607,2.943810512470759,10.013,9.974,10.2,0.12080700862670685,59.881,59.577,60.205,0.3140530740708222,0.0,0.0,0.0,0.0,2118.502,2057.006,2162.048,52.775995010357974,1.449,1.446,1.454,0.004041451884327375,2530.531,2483.929,2532.631,27.53192452408647,2861.668,2816.594,2873.206,29.915741296737675,2.383786248814972,0.14898664055093574,2.383786248814972,0.14898664055093574,3.4215791983743546,13.936089911658122,2.2977148475668185,2.3993845560477225,0.14996153475298266,0.3808007466540235,0.13834103223592545,48,16,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,2,10,0,dynamic,64,dynamic,16,3,331.724,330.564,337.497,3.7134803531637743,369.951,359.593,380.077,10.242218965308892,97.993,97.832,98.431,0.30999086008031673,57.641,57.615,57.821,0.11218437205481434,417.468,417.143,427.378,5.817630531410528,0.0,0.0,0.0,0.0,4125.234,4098.426,4195.505,50.13484241855476,1.476,1.473,1.509,0.019974984355438097,5010.16,4993.964,5080.907,46.235869326025934,5344.137,5326.775,5420.905,50.09195172879576,1.2040024669870824,0.6020012334935412,1.2040024669870824,0.6020012334935412,0.8920775994658751,1.9989723763258502,1.1799848202550447,1.2118808580963483,0.6059404290481741,0.6611261644711046,0.13834103223592545,48,2,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,24,10,0,dynamic,64,dynamic,16,3,332.024,328.886,340.828,6.190972244593981,97.025,85.399,183.136,53.38974521697339,223.314,217.133,226.9,4.940621519606614,10.023,8.026,10.653,1.3714978429925926,45.411,43.252,47.511,2.129568109578403,0.0,0.0,0.0,0.0,972.355,933.063,986.441,27.66311486438216,1.472,1.465,1.495,0.015695009822658104,1348.11,1330.064,1382.765,26.783149372942216,1691.513,1661.493,1717.394,27.976026528678712,4.4745940613154715,0.18644141922147797,4.4745940613154715,0.18644141922147797,3.401442927080649,18.376758935059787,5.006107337340786,4.503873571147755,0.18766139879782315,0.18972239299327845,0.13834103223592545,48,24,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,32,10,0,dynamic,64,dynamic,16,3,336.886,328.156,339.183,5.8178437872921025,107.27,93.649,203.94,60.131418883974455,235.534,234.005,237.965,1.9970479046165497,10.187,9.754,23.158,7.616884161737879,46.054,44.191,107.541,36.049374562304585,0.0,0.0,0.0,0.0,955.026,891.548,978.54,44.9999495258976,1.823,1.75,1.829,0.04398105652816143,1407.803,1265.255,1462.205,101.7094000965495,1750.405,1597.303,1802.359,106.6047244544067,4.284864430605702,0.1339020134564282,4.284864430605702,0.1339020134564282,3.0765824554861565,18.120185000217138,5.09694343400075,4.312902444447127,0.13477820138897273,0.20864992247710487,0.13834103223592545,48,32,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,4,10,0,dynamic,64,dynamic,16,3,327.764,326.991,329.251,1.1486439831383712,243.7,239.13,243.937,2.709499277234329,143.654,143.228,144.79,0.807446179836973,31.99,31.544,32.125,0.3040564640545124,218.34,217.129,218.649,0.8033681181957268,0.0,0.0,0.0,0.0,6040.339,5936.606,6049.969,62.854914894010875,1.493,1.452,1.498,0.025238858928247974,6647.715,6537.73,6654.026,65.39787020232411,6978.162,6867.244,6985.89,66.38197298463929,0.9074163077087389,0.22685407692718473,0.9074163077087389,0.22685407692718473,1.3542265080016413,3.822052761747733,0.8058676011396049,0.9133539870466769,0.22833849676166923,1.1360400094271148,0.13834103223592545,48,4,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,48,10,0,dynamic,64,dynamic,16,3,331.345,329.661,336.265,3.43159515871748,131.811,92.309,168.395,38.05232462456576,242.862,236.302,341.166,58.74119581123058,13.003,10.401,23.145,6.733499634910017,81.532,47.972,120.537,36.31653170389485,0.0,0.0,0.0,0.0,709.463,701.671,729.23,14.2065010587876,1.747,1.742,1.79,0.026388128644019702,1222.019,1078.254,1302.976,113.8144603861918,1557.619,1414.89,1644.919,116.12220451030599,4.936293952876347,0.10283945735159056,4.936293952876347,0.10283945735159056,2.5037743435676836,10.23533091301575,6.8611238359153335,4.968594596319697,0.10351238742332702,0.18561476961851628,0.13834103223592545,48,48,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,openmp,openmp,8,10,0,dynamic,64,dynamic,16,3,334.486,327.743,336.521,4.594608398256961,121.354,119.512,136.81,9.500014947356663,185.559,178.493,186.183,4.271101185096571,17.105,17.089,22.268,2.9854889605110477,111.97,111.648,119.979,4.719698542633136,0.0,0.0,0.0,0.0,2301.861,2286.729,2315.074,14.183322471598004,1.447,1.445,1.47,0.013892443989449752,2728.754,2696.704,2749.714,26.697640969443846,3065.973,3027.127,3088.863,31.209767466825667,2.2106225038973832,0.2763278129871729,2.2106225038973832,0.2763278129871729,2.7195230482719976,7.452951683486649,2.114686117015754,2.2250877140262553,0.2781359642532819,0.37412716398052703,0.13834103223592545,48,8,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
medium,fast-normalization-full,serial,serial,1,10,0,none,64,none,16,2,338.47299999999996,335.287,341.659,4.505684409720691,330.025,327.252,332.798,3.921614208460587,0.0,0.0,0.0,0.0,109.21549999999999,107.929,110.502,1.819385747992982,834.5070000000001,831.152,837.862,4.744686501761679,0.0,0.0,0.0,0.0,4867.7135,4859.698,4875.729,11.335628809201507,1.399,1.39,1.408,0.012727922061357868,6032.245,6018.102,6046.388,20.001222412642726,6372.298500000001,6354.93,6389.667,24.562768258077156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.13834103223592545,48,48,5225290,13996,5000,0,1,83335836,26075,0.8428125,0.25975,0.31472267698,0.246614240794,0.377202282017,0.593036334325,0.25975,0.246048191345,14472467716660838659,17408454852844037599
