dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
medium,fast-normalization-top50,openmp,openmp,1,10,50,dynamic,64,dynamic,16,3,333.709,327.373,334.379,3.8660451799394986,329.804,328.641,330.938,1.148530510405926,77.433,77.281,77.447,0.09206519429187045,93.814,93.653,93.893,0.12231244144947986,935.098,929.695,954.011,12.768201609206073,810.952,805.06,830.244,13.172767261791819,281.706,279.206,285.328,3.0780883678023057,1.378,1.378,1.379,0.0005773502691896904,1624.042,1614.989,1647.558,16.81120076020746,1959.644,1944.266,1983.837,19.94846766880433,0.9538383243783104,0.9538383243783104,0.9538383243783104,0.9538383243783104,0.9925956022364798,1.008142462073494,0.9903942408042427,1.0,1.0,,0.6085650551765297,48,1,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,12,10,50,dynamic,64,dynamic,16,3,331.403,329.074,337.595,4.4040236526764245,118.684,117.596,169.746,29.799703824031546,205.986,199.981,207.379,3.9313033886146864,11.978,11.872,12.014,0.07381959992666784,88.354,87.677,88.366,0.3943758782346228,69.792,69.662,69.849,0.09584536156399551,74.346,73.494,76.868,1.7545305165010159,1.37,1.364,1.385,0.010816653826391916,486.146,483.887,538.444,30.867053995049993,824.369,820.704,870.428,27.710827853626707,3.1864367905937723,0.2655363992161477,3.1864367905937723,0.2655363992161477,2.758265646590947,10.669715010073116,3.7527237511096763,3.3406466370185086,0.2783872197515424,0.25145109465285365,0.6085650551765297,48,12,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,16,10,50,dynamic,64,dynamic,16,3,336.989,334.872,341.203,3.2228622372046694,97.038,96.831,98.301,0.7957091177057111,213.569,208.079,220.43,6.188169115336135,10.062,9.964,10.136,0.08627861844049135,68.502,68.277,68.566,0.15179042569718684,52.992,52.85,53.002,0.0850176452273284,97.53,96.685,98.853,1.0927471497713113,1.386,1.371,1.399,0.01401189970465581,475.361,471.213,486.086,7.675042432021684,812.461,810.735,829.546,10.39815706427508,3.258730733063924,0.20367067081649526,3.258730733063924,0.20367067081649526,3.373544384674045,13.761817173221221,2.8606582589972316,3.4164392956090213,0.21352745597556383,0.2606591402323174,0.6085650551765297,48,16,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,2,10,50,dynamic,64,dynamic,16,3,337.301,326.468,365.725,20.274736800593335,358.141,332.741,362.765,16.165714501169862,98.058,97.905,99.305,0.7679429232262879,57.766,57.475,58.505,0.5309899559627607,479.285,478.779,481.646,1.530253029186137,405.293,405.074,406.884,0.9878716178397569,210.126,207.468,211.944,2.2510983985601345,1.469,1.411,1.489,0.04051337227796936,1143.692,1122.417,1152.053,15.279749354401602,1483.526,1481.05,1490.57,4.939279839544735,1.3544498868576504,0.6772249434288252,1.3544498868576504,0.6772249434288252,0.9140589879405038,1.9669132144757293,1.3277747637132007,1.4199994404087812,0.7099997202043906,0.4766142471612871,0.6085650551765297,48,2,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,24,10,50,dynamic,64,dynamic,16,3,330.963,328.617,333.462,2.4229025981248045,86.471,85.04,235.276,86.32866604050669,222.247,218.426,227.423,4.515473876940646,10.528,8.468,10.859,1.2955077511668287,53.759,50.454,54.35,2.099647668856214,36.917,36.58,37.135,0.27961819206434585,50.622,48.052,52.522,2.2433531450338644,1.374,1.37,1.376,0.003055050463303799,414.274,409.868,560.499,85.72325785339707,745.842,745.498,894.015,85.64719839161891,3.7392486615138774,0.15580202756307823,3.7392486615138774,0.15580202756307823,3.785801019995142,17.5358916646515,5.5114377148275455,3.9202122266905475,0.16334217611210614,0.23558268300655055,0.6085650551765297,48,24,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,32,10,50,dynamic,64,dynamic,16,3,336.097,334.978,338.001,1.5283927287622405,87.6,83.666,185.217,57.528486633435215,232.57,232.553,233.206,0.37219931936172396,9.848,9.696,10.053,0.17915449571063943,52.737,50.449,53.081,1.4306585896013093,33.908,33.279,33.951,0.3761812506403425,46.955,46.376,47.08,0.3756066204599349,1.721,1.717,1.726,0.004509249752822841,417.683,415.984,517.823,58.31250312182914,758.993,754.431,857.338,58.1412095935404,3.70873006562393,0.11589781455074781,3.70873006562393,0.11589781455074781,3.7370091324200914,17.875722926977264,5.941859226919391,3.888216661918249,0.12150677068494528,0.24607388368470867,0.6085650551765297,48,32,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,4,10,50,dynamic,64,dynamic,16,3,340.378,334.333,342.51,4.241673765547412,237.103,226.912,243.002,8.139848299159718,143.797,142.021,150.524,4.485304040233325,31.679,31.668,31.74,0.038785736209762854,249.637,249.312,249.768,0.23477719934723307,203.984,203.698,204.058,0.19011926081628683,267.876,267.493,281.575,8.021969978336578,1.391,1.385,1.4,0.007549834435270697,905.271,887.838,915.909,14.171906329072328,1248.158,1224.759,1260.949,18.352288603877188,1.711171019506866,0.4277927548767165,1.711171019506866,0.4277927548767165,1.380674221751728,3.776331232950244,1.0415266765219728,1.7939843428100535,0.44849608570251337,0.44586016523209954,0.6085650551765297,48,4,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,48,10,50,dynamic,64,dynamic,16,3,333.109,328.332,336.117,3.9258548538290885,120.761,117.229,123.453,3.121433004246609,241.58,237.542,244.875,3.6727682112179814,10.112,9.602,11.646,1.0638915984879915,61.985,54.833,106.197,27.821192593656612,29.14,28.372,57.475,16.585368340799672,24.611,24.542,29.28,2.715786135418865,1.718,1.714,1.719,0.002645751311064635,448.937,441.478,496.472,29.83161896936424,790.388,775.126,834.891,31.05184073448785,3.450536489529711,0.07188617686520231,3.450536489529711,0.07188617686520231,2.7108255148599296,15.208711785109301,11.336394295233838,3.617527626370738,0.0753651588827237,0.27469958037855013,0.6085650551765297,48,48,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,8,10,50,dynamic,64,dynamic,16,3,337.962,329.966,350.846,10.53492502741872,123.639,121.477,126.059,2.2922102870373795,181.061,178.762,185.282,3.3068777318391085,16.737,16.711,16.853,0.07560423268574495,127.726,127.535,129.068,0.8354174605150093,103.124,102.93,104.306,0.7447746862866172,116.23,112.316,116.345,2.2936674417476763,1.385,1.381,1.388,0.003511884584284197,550.885,541.624,552.992,6.047547629687011,885.599,882.203,904.356,11.93114463634287,2.8119725532552167,0.3514965691569021,2.8119725532552167,0.3514965691569021,2.647724423523322,7.380736889904953,2.400412974275144,2.9480599399148644,0.36850749248935805,0.2635682831428869,0.6085650551765297,48,8,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,serial,serial,1,10,50,none,64,none,16,2,335.457,330.883,340.031,6.468612834294554,327.36199999999997,325.316,329.408,2.8934809486153816,0.0,0.0,0.0,0.0,107.27250000000001,107.202,107.343,0.09970205614730698,942.712,941.251,944.173,2.0661660146271097,799.8924999999999,798.165,801.62,2.4430539289995505,279.0,278.468,279.532,0.7523616151824615,1.4024999999999999,1.394,1.411,0.012020815280171397,1549.0735,1547.956,1550.191,1.5803836559520237,1886.1025,1880.399,1891.806,8.065967052995056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.6085650551765297,48,48,1052186,50,5000,0,1,4794337,4955,0.84125,0.257125,0.308845818812,0.242896174137,0.376832667254,0.601144965278,0.257125,0.243561660056,14472467716660838659,10638739464929963357
