dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
large,fast-normalization-top50,openmp,openmp,1,10,50,dynamic,64,dynamic,16,3,14735.32,13673.775,14886.076,660.7166403688749,10130.249,9913.956,10520.92,307.6285068568906,1176.334,1129.818,1207.568,39.12450960715035,1454.608,1410.489,1471.682,31.576866231467598,16314.547,15932.417,16928.301,502.41122779253243,14447.141,13982.191,15004.608,511.9056684712524,7818.49,7788.492,8135.281,192.14535652555676,54.951,53.539,55.77,1.1285585201190653,35479.395,35146.813,36370.166,632.5446392382105,50106.217,49945.135,50426.279,244.91040651089872,0.9857651744061589,0.9857651744061589,0.9857651744061589,0.9857651744061589,0.9908479544777231,1.0487247975686975,1.0011327634875788,1.0,1.0,,0.489200486116226,48,1,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,12,10,50,dynamic,64,dynamic,16,3,14620.434,14583.119,15083.279,278.6209877384212,2754.458,2702.264,2775.92,37.88147615919947,4114.303,3898.093,4202.328,156.55355843395387,184.047,164.011,248.239,44.000776781022104,1534.411,1383.857,1611.885,115.94933978251021,1274.231,1139.399,1277.328,78.75454343930477,2077.168,1968.317,2096.934,69.25985807811053,53.741,49.235,55.365,3.17590700955386,10505.619,10004.725,10609.592,323.41131490564777,25158.664,24689.051,25764.347,539.0809700892199,3.329109117701679,0.2774257598084732,3.329109117701679,0.2774257598084732,3.64410584586877,11.150513128490346,3.7682780112152696,3.377182724787563,0.28143189373229693,0.2367789037884885,0.489200486116226,48,12,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,16,10,50,dynamic,64,dynamic,16,3,14658.311,14536.124,14901.902,186.2166227515687,2196.629,2163.739,2232.06,34.168374515039446,4928.789,4864.3,4981.268,58.58667309493963,151.717,150.931,156.794,3.1824648204392347,1180.226,1179.341,1188.626,5.124360935765545,961.229,960.368,965.118,2.5307489668739063,2015.06,2010.332,2049.253,21.238171115548912,55.71,54.946,55.767,0.45843683679797753,10343.965,10256.216,10389.443,67.72194254695643,25001.466,24991.261,25321.629,187.86143121017054,3.381135957053219,0.21132099731582618,3.381135957053219,0.21132099731582618,4.569518339237077,14.496774346608191,3.884423540738241,3.4299608515690063,0.2143725532230629,0.24880916163936362,0.489200486116226,48,16,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,2,10,50,dynamic,64,dynamic,16,3,13924.395,13683.821,14398.108,363.4294462051748,10200.872,10042.584,10242.811,105.59736596620137,1942.57,1934.897,1954.613,9.93838881979039,961.707,941.097,973.478,16.390331001335298,8966.809,8837.314,8992.917,83.32954287846086,7589.299,7495.75,7621.86,65.46674247534634,5905.119,5901.179,6685.444,451.6625250947883,55.28,54.845,55.779,0.46736531036581597,27049.58,26920.142,27637.407,382.26601950256156,41516.009,40671.892,41631.182,523.7740660688855,1.2929720905093534,0.6464860452546767,1.2929720905093534,0.6464860452546767,0.9839880845480662,1.908089042601443,1.3255188422113084,1.311643101297691,0.6558215506488455,0.5468237981936022,0.489200486116226,48,2,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,24,10,50,dynamic,64,dynamic,16,3,14660.222,13665.784,15072.932,723.3374009695158,1742.848,1595.233,1775.697,96.12188471068038,5553.249,5405.496,6032.359,327.7027519663719,147.385,141.824,213.639,39.95395571154376,828.537,803.2,1000.563,107.38331808215523,590.773,571.732,668.575,51.306720700118845,1378.476,1275.116,1525.417,125.78125037937883,53.662,48.669,56.63,4.023195123281995,9407.263,9207.743,10301.187,582.3126493147814,24134.961,22945.745,25452.131,1253.7372322083029,3.7178031484821883,0.1549084645200912,3.7178031484821883,0.1549084645200912,5.7592724666752355,20.65021839700581,5.678260992574407,3.771489645819405,0.15714540190914186,0.23719239844050893,0.489200486116226,48,24,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,32,10,50,dynamic,64,dynamic,16,3,13811.852,13120.386,15121.319,1016.2481589761096,1662.744,1621.415,1799.687,93.31164403402893,6318.477,6205.357,6489.59,143.0991448017773,178.957,176.329,180.266,2.0049868661248875,842.685,842.056,853.193,6.256283161750266,568.988,567.135,578.659,6.188220341907666,1037.336,1017.545,1042.718,13.256001999094654,54.682,54.668,57.56,1.6656702354707957,9981.743,9747.493,10003.567,141.96433997780292,23870.103,22945.103,25203.519,1135.3462069718357,3.5038321463495903,0.1094947545734247,3.5038321463495903,0.1094947545734247,6.036729947604683,20.30351792188066,7.545623115364742,3.554428820697948,0.11107590064681087,0.2623502447293838,0.489200486116226,48,32,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,4,10,50,dynamic,64,dynamic,16,3,14505.404,13519.286,14607.526,600.9886175305929,7385.691,7164.681,7626.956,231.21144577709265,2375.38,2327.063,2405.22,39.44083065808819,486.796,461.742,495.413,17.491387623627798,4424.127,4190.706,4505.259,163.3051103884995,3737.376,3538.314,3805.019,138.6439157927002,6038.31,5665.609,6302.277,319.8777773655639,55.768,50.635,55.842,2.9851302037487977,20487.475,19348.059,20575.745,684.7473169658996,34075.162,34020.155,35150.138,637.110763645015,1.707108953153085,0.42677723828827124,1.707108953153085,0.42677723828827124,1.359051779989171,3.8673098670087906,1.2962809958415515,1.7317602584017795,0.4329400646004449,0.44771425643568746,0.489200486116226,48,4,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,48,10,50,dynamic,64,dynamic,16,3,14375.027,13923.94,14631.622,358.26765802446215,1712.494,1651.802,1716.024,36.102735464227635,7263.225,7147.321,7438.228,146.4506002457257,270.791,246.565,275.203,15.419143210092223,1081.382,1072.1,1105.02,16.97369026856959,687.164,677.56,690.176,6.588783600432931,891.145,888.885,895.021,3.1032636583656936,56.066,56.042,56.908,0.49320313597272764,10876.012,10839.747,11146.887,167.84089462444328,25298.843,25154.49,25590.767,222.2592446948674,3.2157331198236996,0.06699443999632708,3.2157331198236996,0.06699443999632708,5.861355718618577,15.821855736455758,8.783471264496798,3.262169534200587,0.06796186529584557,0.29631088981154335,0.489200486116226,48,48,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,8,10,50,dynamic,64,dynamic,16,3,14637.135,14255.357,14734.479,253.24171144843663,3791.354,3675.181,3825.607,78.84310941568276,3718.648,3663.823,3752.521,44.75953521876668,263.132,259.317,273.311,7.234158578116262,2286.382,2271.999,2286.906,8.459352950039108,1906.689,1904.679,1907.69,1.5334178599890138,2808.725,2789.588,2841.958,26.499289166566932,55.951,48.895,56.245,4.161251254130178,12571.591,12467.343,12673.758,103.20924830814938,27371.655,26795.438,27383.442,336.1333238647034,2.782014782377187,0.34775184779714835,2.782014782377187,0.34775184779714835,2.6474806889570326,7.483207093127921,2.7867970342415154,2.822188138319167,0.35277351728989587,0.2679448234360016,0.489200486116226,48,8,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,serial,serial,1,10,50,none,64,none,16,2,13909.8705,13516.775,14302.966,555.9209874078335,10037.5365,9890.208,10184.865,208.353962824084,0.0,0.0,0.0,0.0,1689.929,1686.274,1693.584,5.168950570473784,17109.47,17073.216,17145.724,51.27089849027277,14864.395499999999,14827.196,14901.595,52.60803741349755,7827.3465,7638.682,8016.011,266.81189463833925,54.6815,53.975,55.388,0.9991418818165894,34974.352,34602.105,35346.599,526.4367559526967,48943.127,48176.995,49709.259,1083.4742649680209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.489200486116226,48,48,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
