"dataset","version","threads","schedule","run","load_ms","cooccur_compute_ms","merge_ms","adjacency_ms","recommend_ms","algorithm_ms","end_to_end_ms","hit_rate_at_10","recall_at_10","cooccur_checksum","recommendation_checksum"
"medium","serial","1","none","1","406","301","0","338","7060","7699","8105","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","1","380","335","12961","348","7389","21033","21418","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","1","381","204","118","326","3450","4098","4491","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","1","429","105","109","353","1994","2561","2996","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","1","365","69","117","352","941","1479","1847","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","serial","1","none","2","400","319","0","327","6669","7315","7715","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","2","411","303","12973","336","6785","20397","20809","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","2","359","219","120","360","3366","4065","4429","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","2","409","112","109","351","1928","2500","2912","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","2","399","76","125","346","1023","1570","1974","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","serial","1","none","3","394","349","0","338","6640","7327","7721","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","3","384","361","12950","331","6848","20490","20876","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","3","371","199","102","355","3324","3980","4355","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","3","370","117","114","335","2049","2615","3001","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","3","390","67","128","358","1007","1560","1960","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
