"dataset","version","threads","schedule","run","load_ms","cooccur_compute_ms","merge_ms","adjacency_ms","recommend_ms","algorithm_ms","end_to_end_ms","hit_rate_at_10","recall_at_10","cooccur_checksum","recommendation_checksum"
"medium","serial","1","none","1","379","340","0","351","7054","7745","8124","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","1","396","376","49","347","7251","8023","8430","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","1","402","198","81","355","3590","4224","4634","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","1","373","112","130","368","2069","2679","3057","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","1","378","68","175","386","1004","1633","2017","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","serial","1","none","2","363","340","0","328","6798","7466","7829","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","2","355","319","46","354","7106","7825","8184","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","2","366","209","99","350","3469","4127","4502","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","2","430","122","105","356","1946","2529","2975","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","2","425","67","147","352","999","1565","2020","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","serial","1","none","3","408","304","0","340","7067","7711","8119","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","1","dynamic","3","380","308","48","347","7182","7885","8265","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","2","dynamic","3","373","210","81","366","3692","4349","4722","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","4","dynamic","3","369","108","105","378","2077","2668","3037","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
"medium","openmp","8","dynamic","3","367","75","142","371","981","1569","1954","0.8428125","0.31472267698","14472467716660838659","17408454852844037599"
